Site,Trap,Date,Date_cal,Round,Genus,Species,Sex,correction_10g,Unadjusted_weight,Mass_g,Elytra_length_mm
PANG 114,0,11-08-2017,223,3,Nicrophorus,orbicollis,F,0.9827,0.245,0.249,8.68
HUGH 123,0,25-08-2017,237,3,Nicrophorus,orbicollis,F,0.9746,0.243,0.249,10.39
HUGH 126,6,10-08-2017,222,3,Nicrophorus,orbicollis,F,0.9784,0.244,0.249,8.4
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9852,0.246,0.25,9.21
BOST 16,0,11-06-2017,162,2,Nicrophorus,orbicollis,F,0.9764,0.244,0.25,10.07
MASS 200,0,04-07-2017,185,2,Nicrophorus,orbicollis,F,0.9799,0.245,0.25,9.39
BONW 129,0,29-10-2017,302,4,Nicrophorus,orbicollis,F,0.9757,0.244,0.25,9.19
CAPE 55,6,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9744,0.244,0.25,9.29
PANG 36,0,11-06-2017,162,2,Nicrophorus,orbicollis,F,0.9764,0.245,0.251,9.67
CAPE 57,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9824,0.247,0.251,9.25
CAPE 127,0,08-08-2017,220,3,Nicrophorus,orbicollis,F,0.9778,0.246,0.252,9.13
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9852,0.248,0.252,9.05
MASS 4,6,23-06-2017,174,2,Nicrophorus,orbicollis,F,0.9767,0.246,0.252,10.86
MOOR 142,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9778,0.247,0.253,9.4
CAPE 56,0,15-06-2017,166,2,Nicrophorus,orbicollis,F,0.9771,0.247,0.253,9.57
MASS 124,0,16-08-2017,228,3,Nicrophorus,orbicollis,F,0.98,0.248,0.253,9.06
BOST 16,0,11-06-2017,162,2,Nicrophorus,orbicollis,F,0.9764,0.248,0.254,9.73
CAPE 57,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9824,0.25,0.254,9.19
PANG 36,0,01-08-2017,213,3,Nicrophorus,orbicollis,F,0.9823,0.25,0.255,9.78
BONW 199,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.98,0.25,0.255,9.92
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,F,0.9757,0.249,0.255,9.72
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,F,0.9757,0.249,0.255,9.13
HUGH 19,0,26-06-2017,177,2,Nicrophorus,orbicollis,F,0.9786,0.25,0.255,9.39
BONW 129,0,04-08-2017,216,3,Nicrophorus,orbicollis,F,0.9819,0.251,0.256,10.06
MASS 10,0,19-06-2017,170,2,Nicrophorus,orbicollis,F,0.9735,0.249,0.256,9.5
HUGH 137,0,29-06-2017,180,2,Nicrophorus,orbicollis,F,0.9769,0.25,0.256,8.99
HUGH 137,6,22-08-2017,234,3,Nicrophorus,orbicollis,F,0.9807,0.251,0.256,9.73
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,F,0.9757,0.25,0.256,9.43
CAPE 55,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9781,0.251,0.257,8.72
MASS 10,0,19-06-2017,170,2,Nicrophorus,orbicollis,F,0.9735,0.25,0.257,10.01
BONW 103,0,18-08-2017,230,3,Nicrophorus,orbicollis,F,0.9849,0.253,0.257,9.59
BONW 103,0,18-08-2017,230,3,Nicrophorus,orbicollis,F,0.9849,0.253,0.257,9.35
CAPE 47,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9823,0.253,0.258,9.48
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9781,0.252,0.258,10.09
QUBS 110,0,20-06-2017,171,2,Nicrophorus,orbicollis,F,0.9742,0.251,0.258,9.47
MASS 10,0,19-06-2017,170,2,Nicrophorus,orbicollis,F,0.9735,0.251,0.258,8.76
